year,article,title,clause_number,content,has_fine,fine_amount,fine_range,violations
2019,1,Phạm vi điều chỉnh,1,"1. Nghị định này quy định về hành vi vi phạm hành chính; hình thức, mức xử phạt, biện pháp 
khắc phục hậu quả đối với từng hành vi vi phạm hành chính; thẩm quyền lập biên bản, thẩm 
quyền xử phạt, mức phạt tiền cụ thể theo từng chức danh đối với hành vi vi phạm hành chính 
trong lĩnh vực giao thông đường bộ và đường sắt.",False,,,
2019,1,Phạm vi điều chỉnh,2,"2. Các hành vi vi phạm hành chính trong các lĩnh vực quản lý nhà nước khác liên quan đến lĩnh 
vực giao thông đường bộ và đường sắt mà không quy định tại Nghị định này thì áp dụng quy 
định tại các Nghị định quy định về xử phạt vi phạm hành chính trong các lĩnh vực đó để xử phạt.",False,,,
2019,2,Đối tượng áp dụng,1,"1. Cá nhân, tổ chức có hành vi vi phạm hành chính trong lĩnh vực giao thông đường bộ, đường 
sắt trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.",False,,,
2019,2,Đối tượng áp dụng,2,"2. Tổ chức quy định tại khoản 1 Điều này gồm: 
a) Cơ quan nhà nước có hành vi vi phạm mà hành vi đó không thuộc nhiệm vụ quản lý nhà nước 
được giao; 
b) Đơn vị lực lượng vũ trang nhân dân; 
c) Đơn vị sự nghiệp công lập; 
d) Cơ quan Đảng Cộng sản Việt Nam; 
đ) Tổ chức chính trị - xã hội, tổ chức chính trị xã hội - nghề nghiệp, tổ chức xã hội, tổ chức xã 
hội - nghề nghiệp; 
e) Tổ chức kinh tế được thành lập theo quy định của Luật Doanh nghiệp gồm: Doanh nghiệp tư 
nhân, công ty cổ phần, công ty trách nhiệm hữu hạn, công ty hợp danh và các đơn vị phụ thuộc 
doanh nghiệp (chi nhánh, văn phòng đại diện); 
g) Tổ chức kinh tế được thành lập theo quy định của Luật Hợp tác xã gồm: Hợp tác xã, liên hiệp 
hợp tác xã; 
h) Tổ chức được thành lập theo quy định của Luật Đầu tư gồm: Nhà đầu tư trong nước, nhà đầu 
tư nước ngoài và tổ chức kinh tế có vốn đầu tư nước ngoài; chi nhánh, văn phòng đại diện của 
thương nhân, doanh nghiệp nước ngoài tại Việt Nam; văn phòng đại diện của tổ chức xúc tiến 
thương mại nước ngoài tại Việt Nam; 
i) Các tổ chức khác được thành lập theo quy định của pháp luật.",False,,,"Cơ quan nhà nước có hành vi vi phạm mà hành vi đó không thuộc nhiệm vụ quản lý nhà nước; Đơn vị lực lượng vũ trang nhân dân;; Đơn vị sự nghiệp công lập;; Cơ quan Đảng Cộng sản Việt Nam;; Tổ chức kinh tế được thành lập theo quy định của Luật Doanh nghiệp gồm: Doanh nghiệp tư; ;; Tổ chức kinh tế được thành lập theo quy định của Luật Hợp tác xã gồm: Hợp tác xã, liên hiệp; Tổ chức được thành lập theo quy định của Luật Đầu tư gồm: Nhà đầu tư trong nước, nhà đầu; Các tổ chức khác được thành lập theo quy định của pháp luật."
2019,2,Đối tượng áp dụng,3,"3. Hộ kinh doanh, hộ gia đình, tổ hợp tác thực hiện hành vi vi phạm hành chính quy định tại 
Nghị định này bị xử phạt như đối với cá nhân vi phạm.",False,,,
2019,2,Đối tượng áp dụng,4,"4. Người có thẩm quyền lập biên bản, thẩm quyền xử phạt vi phạm hành chính và tổ chức, cá 
nhân có liên quan đến việc xử phạt vi phạm hành chính theo quy định tại Nghị định này.",False,,,
2019,3,Giải thích từ ngữ,1,"1. Lĩnh vực giao thông đường bộ: 
a) Máy kéo là loại xe gồm phần đầu máy tự di chuyển, được lái bằng càng hoặc vô lăng và rơ 
moóc được kéo theo (có thể tháo rời với phần đầu kéo); 
b) Các loại xe tương tự xe ô tô là loại phương tiện giao thông đường bộ chạy bằng động cơ có từ 
hai trục, bốn bánh xe trở lên, có phần động cơ và thùng hàng (nếu có) lắp trên cùng một xát xi 
(kể cả loại xe 4 bánh chạy bằng năng lượng điện); 
c) Các loại xe tương tự xe mô tô là phương tiện giao thông đường bộ chạy bằng động cơ, có hai 
bánh hoặc ba bánh, có dung tích làm việc của động cơ từ 50 cm3 trở lên, có vận tốc thiết kế lớn 
nhất lớn hơn 50 km/h, có khối lượng bản thân không lớn hơn 400 kg; 
d) Xe máy điện là xe gắn máy được dẫn động bằng động cơ điện có công suất lớn nhất không lớn 
hơn 4 kW, có vận tốc thiết kế lớn nhất không lớn hơn 50 km/h; 
đ) Các loại xe tương tự xe gắn máy là phương tiện giao thông đường bộ chạy bằng động cơ, có 
hai bánh hoặc ba bánh và vận tốc thiết kế lớn nhất không lớn hơn 50 km/h, trừ các xe quy định 
tại điểm e khoản này; 
e) Xe đạp máy là xe thô sơ hai bánh có lắp động cơ, vận tốc thiết kế lớn nhất không lớn hơn 25 
km/h và khi tắt máy thì đạp xe đi được (kể cả xe đạp điện).",False,,,"Máy kéo là loại xe gồm phần đầu máy tự di chuyển, được lái bằng càng hoặc vô lăng và rơ; ;; Các loại xe tương tự xe ô tô là loại phương tiện giao thông đường bộ chạy bằng động cơ có từ; ;; Các loại xe tương tự xe mô tô là phương tiện giao thông đường bộ chạy bằng động cơ, có hai; Xe máy điện là xe gắn máy được dẫn động bằng động cơ điện có công suất lớn nhất không lớn; Xe đạp máy là xe thô sơ hai bánh có lắp động cơ, vận tốc thiết kế lớn nhất không lớn hơn 25; ."
2019,3,Giải thích từ ngữ,2,"2. Lĩnh vực giao thông đường sắt: 
a) Dốc gù là hệ thống thiết bị phục vụ công tác dồn tàu mà khi đầu máy đẩy đoàn toa xe đến đỉnh 
dốc, sẽ tiến hành tác nghiệp cắt nối toa xe để các toa xe lợi dụng thế năng của đỉnh dốc tự chạy 
vào các đường trong bãi dồn; 
b) Dồn phóng là phương pháp lợi dụng động năng của đoàn dồn để phóng toa xe hoặc cụm toa 
xe vào các đường trong bãi dồn; 
c) Thả trôi là phương pháp lợi dụng thế năng của đường dồn tàu để thả cho toa xe hoặc cụm toa 
xe tự chạy vào các đường trong bãi dồn; 
d) Cắt hớt là phương pháp cắt cụm toa xe khi đoàn dồn đang dịch chuyển; 
đ) Chế độ hô đáp là quy định bắt buộc mà người được quy định hô các mệnh lệnh, thực hiện các 
biểu thị và người chấp hành các mệnh lệnh, biểu thị phải đáp lại đúng nội dung đã nhận được; 
e) Cấp cảnh báo là thông báo bằng văn bản cho các nhân viên đường sắt trực tiếp phục vụ chạy 
tàu liên quan về tình trạng bất bình thường của kết cấu hạ tầng đường sắt, phương tiện giao thông 
đường sắt và các trường hợp cần thiết khác, kèm theo các biện pháp thực hiện nhằm bảo đảm an 
toàn chạy tàu; 
g) Khổ giới hạn tiếp giáp kiến trúc đường sắt là khoảng không gian dọc theo đường sắt đủ để tàu 
chạy qua không bị va quệt; 
h) Phạm vi an toàn đường ngang là đoạn đường bộ đi qua đường sắt nằm giữa hai cần chắn, giàn 
chắn (bao gồm cả cần chắn, giàn chắn) hoặc nằm giữa hai ray chính ngoài cùng và hai bên đường 
sắt cách má ray ngoài cùng trở ra 06 m nơi không có chắn; 
i) Phạm vi an toàn cầu chung là phạm vi giữa hai cần chắn, giàn chắn (bao gồm cả cần chắn, giàn 
chắn) hoặc phạm vi từ mép trong của mố (giáp đầu dầm) hai đầu cầu trở ra mỗi bên 10 m ở nơi 
không có cần chắn, giàn chắn.",False,,,"Dốc gù là hệ thống thiết bị phục vụ công tác dồn tàu mà khi đầu máy đẩy đoàn toa xe đến đỉnh; Dồn phóng là phương pháp lợi dụng động năng của đoàn dồn để phóng toa xe hoặc cụm toa; Thả trôi là phương pháp lợi dụng thế năng của đường dồn tàu để thả cho toa xe hoặc cụm toa; Cắt hớt là phương pháp cắt cụm toa xe khi đoàn dồn đang dịch chuyển;; Cấp cảnh báo là thông báo bằng văn bản cho các nhân viên đường sắt trực tiếp phục vụ chạy; Khổ giới hạn tiếp giáp kiến trúc đường sắt là khoảng không gian dọc theo đường sắt đủ để tàu; Phạm vi an toàn đường ngang là đoạn đường bộ đi qua đường sắt nằm giữa hai cần chắn, giàn; hoặc nằm giữa hai ray chính ngoài cùng và hai bên đường; Phạm vi an toàn cầu chung là phạm vi giữa hai cần chắn, giàn chắn (bao gồm cả cần chắn, giàn; hoặc phạm vi từ mép trong của mố (giáp đầu dầm) hai đầu cầu trở ra mỗi bên 10 m ở nơi"
2019,4,Các biện pháp khắc phục hậu quả và nguyên tắc áp dụng,1,"1. Các biện pháp khắc phục hậu quả vi phạm hành chính trong lĩnh vực giao thông đường bộ, 
đường sắt bao gồm: 
a) Buộc khôi phục lại tình trạng ban đầu đã bị thay đổi do vi phạm hành chính gây ra; 
b) Buộc tháo dỡ công trình, phần công trình xây dựng không có giấy phép hoặc xây dựng không 
đúng với giấy phép; 
c) Buộc thực hiện biện pháp để khắc phục tình trạng ô nhiễm môi trường do vi phạm hành chính 
gây ra; 
d) Buộc tái xuất phương tiện khỏi Việt Nam; 
đ) Buộc nộp lại số lợi bất hợp pháp có được do thực hiện vi phạm hành chính; 
e) Các biện pháp khắc phục hậu quả khác được quy định tại khoản 2 và khoản 3 Điều này.",False,,,"Buộc khôi phục lại tình trạng ban đầu đã bị thay đổi do vi phạm hành chính gây ra;; Buộc tháo dỡ công trình, phần công trình xây dựng không có giấy phép hoặc xây dựng không; Buộc thực hiện biện pháp để khắc phục tình trạng ô nhiễm môi trường do vi phạm hành chính; Buộc tái xuất phương tiện khỏi Việt Nam;; Các biện pháp khắc phục hậu quả khác được quy định tại khoản 2 và khoản 3 Điều này."
2019,4,Các biện pháp khắc phục hậu quả và nguyên tắc áp dụng,2,"2. Các biện pháp khắc phục hậu quả khác trong lĩnh vực giao thông đường bộ: 
a) Buộc phải tháo dỡ các vật che khuất biển báo hiệu đường bộ, đèn tín hiệu giao thông hoặc 
buộc phải di dời cây trồng không đúng quy định; 
b) Buộc phải thu dọn thóc, lúa, rơm, rạ, nông, lâm, hải sản, rác, chất phế thải, phương tiện, vật 
tư, vật liệu, hàng hóa, máy móc, thiết bị, biển hiệu, biển quảng cáo, đinh, vật sắc nhọn, dây, các 
loại vật dụng, vật cản khác; 
c) Buộc phải thực hiện ngay các biện pháp bảo đảm an toàn giao thông theo quy định hoặc buộc 
phải treo biển báo thông tin công trình có đầy đủ nội dung theo quy định; 
d) Buộc phải xây dựng lại bến xe, bãi đỗ xe, trạm dừng nghỉ, trạm thu phí đường bộ theo đúng 
quy định, bảo đảm tiêu chuẩn kỹ thuật; 
đ) Buộc phải bổ sung hoặc sửa chữa các biển báo hiệu bị mất, bị hư hỏng và khắc phục các hư 
hỏng của công trình đường bộ; 
e) Buộc phải lắp đầy đủ thiết bị hoặc thay thế thiết bị đủ tiêu chuẩn an toàn kỹ thuật hoặc khôi 
phục lại tính năng kỹ thuật của phương tiện, thiết bị theo quy định hoặc tháo bỏ những thiết bị 
lắp thêm không đúng quy định; 
g) Buộc phải bố trí phương tiện khác để chở số hành khách vượt quá quy định được phép chở 
của phương tiện; 
h) Buộc phải đăng ký, niêm yết đầy đủ, chính xác các thông tin theo quy định; 
i) Buộc phải gắn hộp đèn với chữ “TAXI” hoặc buộc phải niêm yết cụm từ “XE TAXI”, “XE 
HỢP ĐỒNG”, “XE DU LỊCH” theo đúng quy định; 
k) Buộc phải cấp “thẻ nhận dạng lái xe” cho lái xe theo quy định; 
l) Buộc phải tổ chức tập huấn nghiệp vụ hoặc tổ chức khám sức khỏe định kỳ cho lái xe và nhân 
viên phục vụ trên xe theo quy định; 
m) Buộc phải ký hợp đồng với lái xe và nhân viên phục vụ trên xe; 
n) Buộc phải xây dựng và thực hiện quy trình bảo đảm an toàn giao thông theo quy định; 
o) Buộc phải bố trí người trực tiếp điều hành hoạt động vận tải đủ điều kiện theo quy định; 
p) Buộc phải lắp đặt camera, dây an toàn, đồng hồ tính tiền cước, thiết bị in hóa đơn, thiết bị 
giám sát hành trình trên xe theo đúng quy định; 
q) Buộc phải cung cấp, cập nhật, truyền, lưu trữ, quản lý các thông tin từ thiết bị giám sát hành 
trình, camera lắp trên xe ô tô theo quy định; 
r) Buộc phải cung cấp tên đăng nhập, mật khẩu truy cập vào phần mềm xử lý dữ liệu từ thiết bị 
giám sát hành trình của xe ô tô hoặc máy chủ của đơn vị cho cơ quan có thẩm quyền theo quy 
định; 
s) Buộc phải lập, cập nhật, lưu trữ đầy đủ, chính xác lý lịch phương tiện, lý lịch hành nghề của 
lái xe, các hồ sơ, tài liệu có liên quan trong quá trình quản lý, điều hành hoạt động vận tải của 
đơn vị theo quy định; 
t) Buộc phải khôi phục lại nhãn hiệu, màu sơn ghi trong Giấy đăng ký xe theo quy định hoặc 
buộc phải thực hiện đúng quy định về biển số, quy định về kẻ chữ trên thành xe và cửa xe; 
u) Buộc phải khôi phục lại hình dáng, kích thước, tình trạng an toàn kỹ thuật ban đầu của xe và 
đăng kiểm lại trước khi đưa phương tiện ra tham gia giao thông; 
v) Buộc phải thực hiện điều chỉnh thùng xe theo đúng quy định hiện hành, đăng kiểm lại và điều 
chỉnh lại khối lượng hàng hóa cho phép chuyên chở ghi trong Giấy chứng nhận kiểm định an 
toàn kỹ thuật và bảo vệ môi trường theo quy định hiện hành trước khi đưa phương tiện ra tham 
gia giao thông; 
x) Buộc phải làm thủ tục đăng ký xe, đăng ký sang tên hoặc thủ tục đổi lại, thu hồi Giấy đăng ký 
xe, biển số xe, Giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường theo quy định; 
y) Buộc phải đưa phương tiện quay trở lại Khu kinh tế thương mại đặc biệt, Khu kinh tế cửa 
khẩu quốc tế.",False,,,"Buộc phải tháo dỡ các vật che khuất biển báo hiệu đường bộ, đèn tín hiệu giao thông hoặc; Buộc phải thu dọn thóc, lúa, rơm, rạ, nông, lâm, hải sản, rác, chất phế thải, phương tiện, vật; Buộc phải thực hiện ngay các biện pháp bảo đảm an toàn giao thông theo quy định hoặc buộc; Buộc phải xây dựng lại bến xe, bãi đỗ xe, trạm dừng nghỉ, trạm thu phí đường bộ theo đúng; Buộc phải lắp đầy đủ thiết bị hoặc thay thế thiết bị đủ tiêu chuẩn an toàn kỹ thuật hoặc khôi; Buộc phải bố trí phương tiện khác để chở số hành khách vượt quá quy định được phép chở; Buộc phải đăng ký, niêm yết đầy đủ, chính xác các thông tin theo quy định;; Buộc phải gắn hộp đèn với chữ “TAXI” hoặc buộc phải niêm yết cụm từ “XE TAXI”, “XE; Buộc phải cấp “thẻ nhận dạng lái xe” cho lái xe theo quy định;; Buộc phải tổ chức tập huấn nghiệp vụ hoặc tổ chức khám sức khỏe định kỳ cho lái xe và nhân; Buộc phải ký hợp đồng với lái xe và nhân viên phục vụ trên xe;; Buộc phải xây dựng và thực hiện quy trình bảo đảm an toàn giao thông theo quy định;; Buộc phải bố trí người trực tiếp điều hành hoạt động vận tải đủ điều kiện theo quy định;; Buộc phải lắp đặt camera, dây an toàn, đồng hồ tính tiền cước, thiết bị in hóa đơn, thiết bị; Buộc phải cung cấp, cập nhật, truyền, lưu trữ, quản lý các thông tin từ thiết bị giám sát hành; Buộc phải cung cấp tên đăng nhập, mật khẩu truy cập vào phần mềm xử lý dữ liệu từ thiết bị; Buộc phải lập, cập nhật, lưu trữ đầy đủ, chính xác lý lịch phương tiện, lý lịch hành nghề của; Buộc phải khôi phục lại nhãn hiệu, màu sơn ghi trong Giấy đăng ký xe theo quy định hoặc; Buộc phải khôi phục lại hình dáng, kích thước, tình trạng an toàn kỹ thuật ban đầu của xe và; Buộc phải thực hiện điều chỉnh thùng xe theo đúng quy định hiện hành, đăng kiểm lại và điều; Buộc phải làm thủ tục đăng ký xe, đăng ký sang tên hoặc thủ tục đổi lại, thu hồi Giấy đăng ký; Buộc phải đưa phương tiện quay trở lại Khu kinh tế thương mại đặc biệt, Khu kinh tế cửa"
