ID,Question,Answer,Our System,Deepseek v3.1,GPT-5-mini,qwen3-235b-a22b
1,Tôi lái ô tô lỡ vượt đèn đỏ thì bị phạt bao nhiêu tiền?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 9, Điểm b, phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng đối với người điều khiển xe ô tô thực hiện hành vi không chấp hành hiệu lệnh của đèn tín hiệu giao thông. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm b.","Nếu bạn lái ô tô vượt đèn đỏ, tức là không chấp hành hiệu lệnh của đèn tín hiệu giao thông, sẽ bị phạt tiền từ 18.000.000 đồng đến 20.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 9, điểm b.",,,"Tại Việt Nam, mức phạt tiền cho hành vi **vượt đèn đỏ khi lái ô tô** được quy định cụ thể trong **Nghị định 100/2019/NĐ-CP** (được sửa đổi, bổ sung bởi **Nghị định 123/2021/NĐ-CP**). Cụ thể:

### 1. **Mức phạt tiền:**
- **Phạt từ 3.000.000 VND đến 5.000.000 VND** cho người điều khiển ô tô (bao gồm xe con, xe tải, xe khách...) vi phạm đèn tín hiệu giao thông (vượt đèn đỏ hoặc không dừng lại khi đèn đỏ).

### 2. **Hình phạt bổ sung:**
- **Tước giấy phép lái xe từ 1 đến 3 tháng** (tùy mức độ vi phạm và quyết định của lực lượng chức năng).

### 3. **Căn cứ pháp lý:**
- **Điểm c, Khoản 6, Điều 5** của Nghị định 100/2019/NĐ-CP (được sửa đổi bởi Nghị định 123/2021/NĐ-CP).

---

### Lưu ý:
- Mức phạt có thể thay đổi tùy theo **tình tiết vi phạm** (ví dụ: gây tai nạn, tái phạm...).
- Nếu bạn bị xử phạt, cần yêu cầu biên bản vi phạm và hóa đơn nộp phạt để hoàn tất thủ tục.

Để cập nhật chính xác nhất, bạn nên kiểm tra thông tin trên **Cổng thông tin điện tử Bộ Công an** hoặc liên hệ cơ quan chức năng địa phương."
2,Đi xe máy mà vượt đèn đỏ thì phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 7, Điểm c, phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy thực hiện hành vi không chấp hành hiệu lệnh của đèn tín hiệu giao thông. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 7, Khoản 13, Điểm b.","Đi xe máy vượt đèn đỏ bị xử phạt như sau:

- Nếu là người điều khiển xe mô tô, xe gắn máy thì bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng (không đề cập trừ điểm GPLX trong tài liệu) do không chấp hành hiệu lệnh của đèn tín hiệu giao thông (Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 7, điểm c).

- Ngoài ra, theo nghị định 100/2019/NĐ-CP, điều 6, khoản 4, điểm e cũng quy định phạt tiền từ 600.000 đồng đến 1.000.000 đồng đối với hành vi không chấp hành hiệu lệnh của đèn tín hiệu giao thông, nhưng mức phạt này đã được nâng lên trong nghị định 168/2024/NĐ-CP.

Vậy mức phạt hiện hành cho người điều khiển xe máy vượt đèn đỏ là từ 4.000.000 đồng đến 6.000.000 đồng.",,,"Theo quy định hiện hành tại Việt Nam, cụ thể là **Nghị định số 123/2021/NĐ-CP** (sửa đổi và bổ sung từ Nghị định 100/2019/NĐ-CP), mức phạt khi **đi xe máy vượt đèn đỏ** như sau:

### **1. Mức phạt tiền:**
- **Cá nhân vi phạm** sẽ bị phạt tiền từ **3.000.000 đồng đến 5.000.000 đồng**.  
- **Tổ chức vi phạm** sẽ bị phạt gấp đôi mức trên (tức từ **6.000.000 đồng đến 10.000.000 đồng**).

### **2. Hình phạt bổ sung:**
- **Tước quyền sử dụng giấy phép lái xe (GPLX)** từ **1 đến 3 tháng**.

### **Căn cứ pháp lý:**
- **Điều 6, Khoản 3** của Nghị định 123/2021/NĐ-CP.  
- Vi phạm này thuộc trường hợp **không chấp hành hiệu lệnh đèn tín hiệu giao thông**.

### **Lưu ý:**
- Mức phạt cụ thể do **cơ quan chức năng địa phương** quyết định trong khung quy định.  
- Nếu vi phạm gây tai nạn giao thông, có thể bị xử lý hình sự theo **Bộ Luật Hình sự** (ví dụ: Tội vi phạm quy định về tham gia giao thông đường bộ).

Bạn nên tuân thủ nghiêm túc tín hiệu đèn giao thông để đảm bảo an toàn và tránh bị xử phạt."
3,Lái ô tô chạy quá tốc độ 15km/h bị phạt thế nào?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 5, Điểm đ, phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe ô tô thực hiện hành vi chạy quá tốc độ quy định từ 10 km/h đến 20 km/h. Ngoài ra, bị trừ 02 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm a.","Lái ô tô chạy quá tốc độ 15 km/h thuộc trường hợp chạy quá tốc độ từ 10 km/h đến 20 km/h.

Mức phạt theo quy định mới nhất năm 2024 như sau:

- Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe chạy quá tốc độ quy định từ 10 km/h đến 20 km/h.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 5, điểm đ.",,,"Theo quy định hiện hành tại Việt Nam, việc lái ô tô vượt quá tốc độ 15km/h sẽ bị xử phạt như sau:

### 1. **Mức phạt tiền:**
- **6.000.000 - 8.000.000 VND** (tùy theo quyết định của lực lượng chức năng trong khung phạt này).  
  *Căn cứ:* Điểm a Khoản 5 Điều 5 Nghị định 100/2019/NĐ-CP (được sửa đổi, bổ sung bởi Nghị định 123/2021/NĐ-CP).

### 2. **Hình thức xử phạt bổ sung:**
- **Tước quyền sử dụng giấy phép lái xe (GPLX) trong 2 tháng** nếu người vi phạm bị ghi nhận **tổng cộng 12 điểm vi phạm** trong 12 tháng.  
  - Mỗi lần vi phạm tốc độ 10-20km/h, tài xế bị **trừ 6 điểm** (theo Phụ lục 02 Nghị định 123/2021/NĐ-CP).  
  - Nếu vi phạm 2 lần trong 1 năm, tài xế sẽ bị tước GPLX.

### 3. **Lưu ý:**
- **Không áp dụng tạm giữ phương tiện** với lỗi này (trừ trường hợp vi phạm nghiêm trọng khác như không có GPLX, sử dụng GPLX giả...).
- Nếu vi phạm dẫn đến tai nạn giao thông, mức xử phạt có thể nghiêm trọng hơn, bao gồm cả trách nhiệm hình sự.

### 4. **Căn cứ pháp lý:**
- **Nghị định 100/2019/NĐ-CP** (quy định xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ) và **Nghị định 123/2021/NĐ-CP** (sửa đổi, bổ sung một số điều của Nghị định 100).

**Ví dụ:**  
Nếu bạn chạy xe 75km/h trong khu vực có tốc độ cho phép 60km/h (vượt 15km/h), bạn sẽ bị phạt từ 6-8 triệu đồng và trừ 6 điểm GPLX. Nếu tái phạm lần thứ hai trong năm, GPLX của bạn sẽ bị tước 2 tháng.

**Khuyến nghị:**  
Luôn tuân thủ tốc độ quy định để đảm bảo an toàn và tránh các hậu quả pháp lý không mong muốn."
4,Xe máy chạy quá tốc độ 25km/h phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 8, Điểm a, phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy thực hiện hành vi chạy quá tốc độ quy định trên 20 km/h. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 7, Khoản 13, Điểm b.","Xe máy chạy quá tốc độ quy định trên 20 km/h sẽ bị phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 8, điểm a.",,,"Theo quy định hiện hành tại Việt Nam (Nghị định 100/2019/NĐ-CP và các văn bản sửa đổi, bổ sung), mức phạt tiền khi **xe máy chạy quá tốc độ 25km/h** (ví dụ: tốc độ giới hạn là 25km/h nhưng phương tiện chạy nhanh hơn) được tính dựa trên mức độ vi phạm. Cụ thể:

### 1. **Mức phạt tiền:**
- **Vượt tốc độ từ 5–10km/h:**  
  Phạt **200.000 – 300.000 đồng**.  
  *Ví dụ:* Chạy 30–35km/h trong khu vực 25km/h.

- **Vượt tốc độ từ 10–20km/h:**  
  Phạt **600.000 – 1.000.000 đồng**.  
  *Ví dụ:* Chạy 35–45km/h trong khu vực 25km/h.

- **Vượt tốc độ từ 20–35km/h:**  
  Phạt **2.000.000 – 3.000.000 đồng**.  
  *Ví dụ:* Chạy 45–60km/h trong khu vực 25km/h.

- **Vượt tốc độ trên 35km/h:**  
  Phạt **4.000.000 – 6.000.000 đồng** và **tước giấy phép lái xe từ 2–4 tháng**.  
  *Ví dụ:* Chạy trên 60km/h trong khu vực 25km/h.

---

### 2. **Lưu ý:**
- **Tốc độ 25km/h** thường áp dụng tại các khu vực **đặc biệt** như trường học, bệnh viện, hoặc đoạn đường có biển báo giới hạn tốc độ thấp.  
- Mức phạt có thể thay đổi tùy theo quyết định của lực lượng chức năng trong khung quy định.  
- Ngoài phạt tiền, người vi phạm có thể bị **tước giấy phép lái xe** nếu vi phạm nghiêm trọng.

Để cập nhật thông tin chính xác nhất, bạn nên tham khảo văn bản pháp luật mới nhất hoặc liên hệ cơ quan chức năng địa phương."
5,"Uống ít bia, lái ô tô nồng độ cồn dưới 0.25mg/l khí thở bị phạt bao nhiêu?","Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 6, Điểm c, phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe ô tô trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm b.","Nếu người điều khiển ô tô có nồng độ cồn trong hơi thở dưới 0,25 mg/l thì bị phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 6, điểm c quy định: ""Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở.""",,,"Theo quy định hiện hành tại Việt Nam, cụ thể là **Nghị định 123/2021/NĐ-CP** (sửa đổi, bổ sung Nghị định 100/2019/NĐ-CP), mức xử phạt vi phạm nồng độ cồn khi lái ô tô được áp dụng như sau:

### **Trường hợp nồng độ cồn trong khí thở < 0.25mg/l:**
- **Không bị xử phạt hành chính** vì đây là ngưỡng cho phép.  
- **Lưu ý:** Nếu có dấu hiệu say rượu (ví dụ: đi không thẳng, nói lắp...), lực lượng chức năng có thể yêu cầu kiểm tra lại hoặc xử lý theo tình huống cụ thể.

---

### **Trường hợp nồng độ cồn trong khí thở ≥ 0.25mg/l:**
- **Mức phạt tiền:** 6.000.000 - 8.000.000 VND.  
- **Hình phạt bổ sung:** Tước giấy phép lái xe từ **10 - 12 tháng**.  
- **Tăng nặng** nếu nồng độ cồn cao hơn (ví dụ: ≥ 0.4mg/l hoặc ≥ 0.6mg/l), mức phạt và thời gian tước GPLX sẽ cao hơn.

---

### **Khuyến cáo:**
- **Tài xế xe kinh doanh vận tải** hoặc **người mới lấy bằng** phải tuân thủ **zero alcohol** (không có nồng độ cồn).  
- **Luôn ưu tiên an toàn:** Dù nồng độ cồn thấp, khả năng phản xạ và kiểm soát phương tiện vẫn có thể bị ảnh hưởng.

Nếu bạn cần thông tin chi tiết hơn về các mức phạt cụ thể hoặc tình huống đặc biệt, hãy hỏi thêm! 🚗💨"
6,Đi xe máy có nồng độ cồn nhẹ (dưới 0.25mg/l khí thở) thì phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 6, Điểm a, phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá 50 miligam/100 mililít máu hoặc chưa vượt quá 0,25 miligam/1 lít khí thở. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 7, Khoản 13, Điểm b.","Đi xe máy có nồng độ cồn trong hơi thở không vượt quá 0,25 mg/l (tức là nồng độ cồn nhẹ dưới 0,25 mg/l khí thở) sẽ bị phạt tiền từ 2.000.000 đồng đến 3.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 6, điểm a và nghị định 100/2019/NĐ-CP, điều 6, khoản 6, điểm c.",,,"Theo quy định hiện hành tại Việt Nam, cụ thể là **Nghị định 123/2021/NĐ-CP** (sửa đổi, bổ sung Nghị định 100/2019/NĐ-CP), **không có hình phạt nào áp dụng nếu nồng độ cồn trong khí thở của người điều khiển xe máy dưới 0.25 mg/l**. Đây là ngưỡng cho phép theo pháp luật Việt Nam, và chỉ khi vượt quá mức này, người vi phạm mới bị xử phạt.

### Chi tiết xử phạt nếu **vượt quá ngưỡng 0.25 mg/l khí thở**:
- **Mức phạt tiền**: 6.000.000 - 8.000.000 VND.
- **Hình thức xử lý bổ sung**: 
  - Tạm giữ giấy phép lái xe từ **10 đến 12 tháng**.
  - Nếu tái phạm, mức phạt có thể tăng lên và áp dụng các biện pháp nghiêm khắc hơn.

### Lưu ý:
- **0.25 mg/l khí thở** tương đương với **0.05% BAC (nồng độ cồn trong máu)**, đây là ngưỡng cho phép đối với người điều khiển phương tiện giao thông.
- Nếu nồng độ cồn **dưới 0.25 mg/l**, bạn **không vi phạm** và không bị xử phạt.

### Kết luận:
Nếu bạn đi xe máy với nồng độ cồn **dưới 0.25 mg/l khí thở**, bạn **không bị phạt**. Tuy nhiên, nên hạn chế sử dụng rượu bia trước khi lái xe để đảm bảo an toàn và tránh rủi ro pháp lý."
7,Vừa lái ô tô vừa cầm điện thoại nhắn tin bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 5, Điểm h, phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe ô tô thực hiện hành vi dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác khi điều khiển phương tiện tham gia giao thông đang di chuyển trên đường bộ. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm b.","Vừa lái ô tô vừa cầm điện thoại nhắn tin bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng. Đây là hành vi dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác khi điều khiển phương tiện tham gia giao thông đang di chuyển trên đường bộ.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 5, điểm h.",,,"Tại Việt Nam, hành vi **vừa lái ô tô vừa cầm điện thoại nhắn tin** bị xử phạt nghiêm khắc theo **Nghị định 100/2019/NĐ-CP** (cập nhật và áp dụng từ năm 2020). Cụ thể:

### **Mức phạt tiền:**
- **6.000.000 - 8.000.000 VND** (6-8 triệu đồng) cho hành vi sử dụng điện thoại (gọi, nhắn tin, lướt mạng...) khi đang điều khiển ô tô.

### **Hình phạt bổ sung:**
- **Tước giấy phép lái xe từ 2-4 tháng** (tùy mức độ vi phạm và quyết định của cơ quan chức năng).

### **Lưu ý:**
- Nếu tái phạm hoặc vi phạm nhiều lần, mức phạt có thể **tăng gấp đôi** và thời gian tước giấy phép lái xe kéo dài hơn.
- Hành vi này không chỉ bị xử phạt hành chính mà còn tiềm ẩn nguy cơ gây tai nạn giao thông nghiêm trọng do mất tập trung.

### **Căn cứ pháp lý:**
- **Điểm a, Khoản 5, Điều 5** của Nghị định 100/2019/NĐ-CP quy định về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ.

**Khuyến nghị:** Luôn tuân thủ quy định an toàn giao thông, không sử dụng điện thoại khi lái xe để bảo vệ bản thân và người xung quanh."
8,Vừa đi xe máy vừa nghe điện thoại bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 4, Điểm đ, phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe mô tô, xe gắn máy thực hiện hành vi dùng tay cầm và sử dụng điện thoại hoặc các thiết bị điện tử khác. Ngoài ra, bị trừ 04 điểm giấy phép lái xe theo quy định tại Điều 7, Khoản 13, Điểm b.","Người điều khiển xe máy vừa đi vừa dùng điện thoại sẽ bị phạt tiền từ 800.000 đồng đến 1.000.000 đồng.

Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 4, điểm đ quy định: ""Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe sử dụng điện thoại hoặc các thiết bị điện tử khác khi đang điều khiển xe.""

Do đó, hành vi vừa đi xe máy vừa nghe điện thoại bị phạt tiền trong mức trên.",,,"Tại Việt Nam, việc vừa điều khiển xe máy vừa sử dụng điện thoại (không sử dụng thiết bị kết nối rảnh tay) là hành vi vi phạm luật giao thông. Mức phạt cụ thể được quy định tại **Nghị định số 123/2021/NĐ-CP** (có hiệu lực từ ngày 1/1/2022) như sau:

### **Mức phạt tiền:**  
- **800.000 - 1.000.000 VND** (tám trăm nghìn đến một triệu đồng) cho người điều khiển xe máy, xe gắn máy (kể cả xe điện).  

### **Căn cứ pháp lý:**  
- **Điểm b, Khoản 5, Điều 6** của Nghị định 123/2021/NĐ-CP:  
  > ""Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm: Sử dụng ô (dù), điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính) khi đang điều khiển xe.""

### **Lưu ý:**  
1. **Thiết bị rảnh tay (headset, bluetooth)** được phép sử dụng, nhưng **cầm điện thoại trên tay** hoặc **gọi điện qua loa ngoài** vẫn bị xử phạt.  
2. Mức phạt có thể tăng lên nếu vi phạm gây tai nạn giao thông hoặc tái phạm.  
3. Ngoài phạt tiền, lực lượng chức năng có thể **tạm giữ phương tiện** hoặc **giấy tờ xe** theo quy định.  

Để đảm bảo an toàn và tránh bị xử phạt, người điều khiển phương tiện nên sử dụng thiết bị rảnh tay hoặc dừng xe ở nơi an toàn khi cần liên lạc.  

*Tham khảo thêm tại: Nghị định 123/2021/NĐ-CP về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ.*"
9,Lái ô tô đi sai làn đường phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 6, Khoản 5, Điểm b, phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe ô tô thực hiện hành vi đi không đúng phần đường hoặc làn đường quy định (làn cùng chiều hoặc làn ngược chiều). Ngoài ra, bị trừ 02 điểm giấy phép lái xe theo quy định tại Điều 6, Khoản 16, Điểm a.","Lái ô tô đi sai làn đường (đi không đúng phần đường hoặc làn đường quy định) bị phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng.

Cụ thể, theo quy định mới nhất:  
- Phạt tiền từ 4.000.000 đồng đến 6.000.000 đồng đối với người điều khiển xe ô tô đi không đúng phần đường hoặc làn đường quy định (làn cùng chiều hoặc làn ngược chiều) (trừ một số trường hợp khác) (Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 5, điểm b).

Ngoài ra, nếu hành vi đi sai làn đường gây tai nạn giao thông thì mức phạt sẽ cao hơn, từ 20.000.000 đồng đến 22.000.000 đồng (Căn cứ theo nghị định 168/2024/NĐ-CP, điều 6, khoản 10, điểm a).

Tóm lại:  
- Vi phạm đi sai làn đường thông thường: phạt tiền 4 - 6 triệu đồng.  
- Nếu gây tai nạn giao thông: phạt tiền 20 - 22 triệu đồng.

Đây là mức phạt áp dụng cho người điều khiển xe ô tô.",,,"Theo quy định hiện hành tại Việt Nam, việc **lái ô tô đi sai làn đường** bị xử phạt vi phạm giao thông như sau:

### **Mức phạt tiền:**
- **Phạt tiền từ 4.000.000 VND đến 6.000.000 VND** (4–6 triệu đồng) cho hành vi **đi không đúng làn đường quy định** trên đường có phân chia làn đường (ví dụ: đi vào làn đường dành cho xe máy, đi sai làn đường có biển báo phân làn...).

### **Hình phạt bổ sung:**
- **Tước giấy phép lái xe từ 1 đến 3 tháng** (áp dụng nếu vi phạm nghiêm trọng hoặc tái phạm).

### **Căn cứ pháp lý:**
- **Nghị định 123/2021/NĐ-CP** (sửa đổi, bổ sung Nghị định 100/2019/NĐ-CP) về xử phạt vi phạm hành chính trong lĩnh vực giao thông đường bộ.
  - **Điểm c, Khoản 4, Điều 5**: Phạt tiền 4–6 triệu đồng đối với hành vi ""không đi đúng làn đường quy định"".
  - **Khoản 6, Điều 5**: Áp dụng hình phạt bổ sung tước GPLX nếu vi phạm.

### **Lưu ý:**
- Mức phạt cụ thể do cảnh sát giao thông quyết định dựa trên tình tiết vi phạm.
- Nếu đi sai làn đường dẫn đến tai nạn hoặc nguy hiểm, mức phạt có thể cao hơn và xử lý nghiêm trọng hơn.

Bạn nên tuân thủ biển báo, vạch kẻ đường và quy định phân làn để tránh vi phạm và đảm bảo an toàn."
10,Không đội mũ bảo hiểm khi đi xe máy bị phạt bao nhiêu?,"Căn cứ Nghị định 168/2024/NĐ-CP, Điều 7, Khoản 2, Điểm h, phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe mô tô, xe gắn máy thực hiện hành vi không đội mũ bảo hiểm cho người đi mô tô, xe máy hoặc đội mũ bảo hiểm cho người đi mô tô, xe máy không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ.","Không đội mũ bảo hiểm khi đi xe máy bị phạt như sau:

- Đối với người điều khiển xe mô tô, xe gắn máy hoặc các loại xe tương tự: phạt tiền từ 400.000 đồng đến 600.000 đồng (kèm theo trừ điểm giấy phép lái xe) nếu không đội mũ bảo hiểm hoặc đội mũ bảo hiểm không cài quai đúng quy cách khi tham gia giao thông trên đường bộ (Căn cứ theo nghị định 168/2024/NĐ-CP, điều 7, khoản 2, điểm h).

- Đối với người được chở trên xe mô tô, xe gắn máy hoặc các loại xe tương tự: phạt tiền từ 400.000 đồng đến 600.000 đồng nếu không đội mũ bảo hiểm hoặc đội mũ bảo hiểm không cài quai đúng quy cách khi tham gia giao thông trên đường bộ (Căn cứ theo nghị định 168/2024/NĐ-CP, điều 12, khoản 5, điểm b).

Tóm lại, cả người điều khiển và người ngồi trên xe máy không đội mũ bảo hiểm hoặc đội không đúng quy cách đều bị phạt tiền từ 400.000 đồng đến 600.000 đồng, người điều khiển còn bị trừ điểm giấy phép lái xe.",,,"The penalty for not wearing a helmet while riding a motorcycle in Vietnam is regulated under **Decree 123/2021/ND-CP** (effective from January 1, 2022). Here are the details:

### 1. **Driver Not Wearing a Helmet**  
   - **Fine**: **400,000 - 600,000 VND** (applied to the rider).  
   - **Legal Basis**: Article 6, Clause 4 of Decree 123/2021/ND-CP.

### 2. **Passenger(s) Not Wearing a Helmet**  
   - **Driver's Responsibility**: The rider is fined **200,000 - 300,000 VND per passenger** who does not wear a helmet.  
   - **Example**: If a driver carries two passengers without helmets, the total fine could be **400,000 + 200,000 + 200,000 = 800,000 VND** (minimum) to **600,000 + 300,000 + 300,000 = 1,200,000 VND** (maximum).  
   - **Legal Basis**: Article 6, Clause 5 of Decree 123/2021/ND-CP.

### 3. **Additional Notes**  
   - **Passengers**: While passengers are not directly fined, the driver is held accountable for ensuring compliance.  
   - **Exceptions**: Helmets are not required for children under 6 years old (but they must be seated safely).  
   - **Enforcement**: Fines are determined within the specified range based on circumstances (e.g., repeat offenses, cooperation with authorities).  

### 4. **Legal Document Reference**  
   - **Decree 123/2021/ND-CP** on administrative penalties in road traffic.  

Always ensure compliance to avoid fines and prioritize safety. For updates, check official sources like the Vietnam National Traffic Safety Committee or local traffic police announcements."
